# Type,OrderId,Side,Price,Quantity
# Dynamic NVDA High-Activity Order Flow with Adds, Cancels, and Trade Executions
A,2001,B,124.95,1000
A,2002,B,124.96,1500
A,2003,B,124.97,2000
A,2004,B,124.98,3500
A,2005,B,124.99,5000
A,2006,S,125.00,4500
A,2007,S,125.01,3000
A,2008,S,125.02,2500
A,2009,S,125.03,1800
A,2010,S,125.04,1200
A,2011,B,124.99,2200
E,2006,0,125.00,1500
X,2002,0,0,0
A,2012,S,125.00,2000
E,2005,0,124.99,1000
X,2008,0,0,1000
A,2013,B,124.98,1800
A,2014,S,125.01,1500
E,2006,0,125.00,3000
A,2015,B,125.00,2500
